"Article_Text","Article_Heading","Article_Date"
"А Вы не задумывались, почему 30% человечества не ест свининку вообще? И это не только евреи и мусульмане, но и индусы, христианские секты, спортсмены и молодые красавицы. Табу на свинину тем более странно, что это первое в мире мясо, которые люди стали есть на первобытный обед.
Ели все!
В древнейшем городе человечества Гёбекли́-Тепе́ археологи нашли рисунки охоты на кабанов. 12 000 лет назад люди додумались не только убивать диких свинок, но и разводить. Так появились домашние поросята. И разводить свиней человечеству понравилось. Эти мясные животные быстро растут, из одной свиноматки рождается толпа, выпаса свинья не требует, разводить ее дешевле быка.
На 8 тысяч лет свинина стала мегапопулярной в Древней мире, ели все. А то, что свинья питалась отбросами, помогало бороться с мусором в первых городах и зарабатывать на отходах. В Вавилоне за похищение свиньи карали смертью, в Древнем Египте приносили в жертвы богам, даже боги встречались с лицом свинюшки.
Этот рисунок дикой свиньи возрастом 45 000 лет найден в Индонезии. Аж тогда свининку любили!
Но археологи обнаружили, что 4000 лет назад свиные кости стали исчезать. В Иудее и Южной Европе их доля в костях домашнего скота упала до 20%. Почему?
И наелись!
Дело в том, что по мере насыщения человечества едой, быстропроизводимость свинины стала не актуальна. А разделение людей на богатых и бедных разделило продукты питания. Как средства роскоши, дома и одежду. Богатые стали брезговать свиньей, поедающей мусор, свинина стала считаться пищей бедняков, они позволить себе дорогих овец и и быков не могли. Священность свиньи исчезла - хетты и египтяне запретили свиней пускать в храмы.
Были еще причины. В Древнем мире росла торговля, но свинина в отличие от травоядных не давала вторичных продуктов - молока и шерсти, только мясо и сало. Растить и продавать свинину сталоневыгодно. Плюс неконтролируемое размножение свиней не позволяло царям обложить народ налогом.
На фресках позднего Древнего мира свинья уже еда бедных
Третья причина исчезновения свиньи - курица. После одомашнивания птиц, курицы дающие мясо и яйца, законкурировали с поросятами по скорости размножения и роста в огородах бедняков. Но все это пока не объясняет нам запрет свинины у евреев и мусульман.
Запрет на обед
Сначала евреи ничем не отличались от других, в железном веке в Израиле ели свинину все, потом как и все, богатые иудеи стали брезговать. Запрет появился только через тысячи лет, когда Вавилон завоевал Израиль в 586 году до н.э., иудейские законы запретили есть свинину как отличительный знак оккупантов.
Далее во время македонского и римского владычества оккупанты использовали свиней, чтобы осквернить иудейскую веру. И когда Антиох IV в 160 году до н.э. осквернил Иерусалимский храм зарезав на алтаре поросенка, запрет свинины стал вопросом еврейской веры.
Оккупанты сделали свинину способом издевательства над евреями
Что касается мусульман, то запретить свинину им было легче всего. Потому что первобытные племена Саудовской Аравии свинину не размножали и не ели. Ведь кочевым племенам не подходит скот, который не годится для дальних переходов, не пасется сам в степи, а требует свинофермы. Вот свиней там и не было.
А когда появился ислам, запрет на свинину стал для мусульман отличительным знаков от врагов-христиан. Мы сталкиваемся с этим в исламских книгах, где авторы с презрением пишут о христианах, о врага - крестоносцах поедающих свинину.
Что грязная не знали
Мифом является утверждение, что ислам и иудаизм запретили свинину, потому что она грязная и приносит болезни, ожирение. В Древнем мире, когда религии появились, никто не знал об этом, а войны и рабство держало людей в отличной форме и без диет. Единственное обоснование запрета в Торе - это то, что свинья не жует жвачку (не ест траву).
А в Коране свинина с одной стороны запрещена, а с другой нет: ""Он только запретил вам есть падаль, кровь, свиней и все, что заколото во имя кого бы то ни было, кроме Аллаха. Но если кто-то вынужден по необходимости - он не будет грешным"".
Лишь в 12 веке врач исламского султана Салах ад-Дина впервые написал, что ""свиней нельзя есть, потому что они грязные, в них много жира и это может вызвать загустение крови, повредить уму"". И только в 19 веке ученые открыли, что недоваренная свинка может вызвать болезнь - трихинеллез. Такая вот поросячья история , друзья!
Благодарен за подписку/лайк 👍 Группа Вконтакте | Одноклассники","Почему евреи и мусульмане не едят свинину?","30 ноября 2023"
"Apple потихоньку сворачивает работу над iOS 17. Не так давно компания выпустила очередное обновление: тут вам и новые функции, и оптимизация в виде исправления ошибок. Наши читатели, которые долгое время не решались установить новую операционку, ждали этого апдейта, чтобы наконец на нее перейти. Но многих традиционно мучает вопрос: как держит заряд Айфон после обновления? По опыту предыдущих версий iOS, можно сказать, что с поздними апдейтами проблем не возникает. Но если учитывать то, какие сложности возникали у разработчиков Apple на протяжении всего цикла iOS 17, перво-наперво лучше узнать эту информацию в других источниках. К счастью, у нас такой имеется.
Разбираемся, как влияет iOS 17.5 на время работы iPhone
ПОДПИСЫВАЙСЯ НА НАШ КАНАЛ В ДЗЕНЕ - БУДЕТ ИНТЕРЕСНО
Содержание
Что нового в iOS 17.5
Что будет с батареей Айфона после обновления
Убивает ли обновление iOS батарею Айфона
Что нового в iOS 17.5
Главное нововведение iOS 17.5 не работает в России, по крайней мере, пока. Это возможность скачивать приложения с сайта разработчика, минуя App Store. Однако сам маркет здесь все же замешан: дело в том, что производитель ПО обязан иметь учетку App Store Connect, а разместить можно только тот софт, который был скачан не менее миллиона раз за предыдущий год.
Новая iOS 17.5 уже доступна для скачивания
Если абстрагироваться от этого, пользователь получает удобный способ загрузки приложения на Айфон, но, к сожалению, только в Европейском Союзе. Но есть и другие новые функции iOS 17.5, которые могут пригодиться.
Обнаружение GPS-меток от других производителей, а не только AirTag. Можно их отключить с Айфона или Android-устройства, чтобы предотвратить слежку.
Режим ремонта, чтобы можно было сдать iPhone в сервис, не отключая местоположение.
Перенос музыки в Apple Music из других сервисов.
А еще появились новые обои и циферблаты для Apple Watch, но для этого нужно изменить регион в настройках.
Цена iPhone 15 Pro Max в России упала ниже некуда. Он стоит супер-выгодно даже с пошлиной
Что будет с батареей Айфона после обновления
По сравнению с предыдущими поздними версиями iOS, эта реально радует списком нововведений. Но как изменится автономность iPhone после обновления? Блогер iAppleBytes уже провел собственные измерения, в которых поучаствовали разные модели — от iPhone SE 2020 до iPhone 15.
В последних версиях iOS 17 разработчики исправили ситуацию с быстрой разрядкой Айфонов, причем изменения были даже в небольших апдейтах вроде iOS 17.4.1. Как обстоят дела с батареей iPhone в iOS 17.5? В целом, довольно неплохо — посмотрите ролик сами.
модель iPhone iOS 17.4 iOS 17.4.1 iOS 17.5 iPhone SЕ 2020 3 часа 19 минут 3 часа 33 минуты 3 часа 22 минуты iPhone XR 4 часа 44 минуты 5 часов 11 минут 4 часа 39 минут iPhone 11 5 часов 26 минут 4 часа 55 минут 5 часов 29 минут iPhone 12 5 часов 59 минут 5 часов 50 минут 6 часов 1 минута iPhone 13 5 часов 48 минут 6 часов 40 минут 5 часов 50 минут iPhone 15 10 часов 47 минут 10 часов 22 минуты 10 часов 52 минуты
Как видите, время работы Айфонов с iOS 17.5 увеличилось за исключением iPhone SE 2020 и iPhone 13. Падение автономности на 11 минут можно считать погрешностью, хотя у этой модели она на вес золота. А вот почему iPhone 13 стал держать заряд меньше, мне, как владельцу этой модели, не очень понятно. Время работы снизилось почти на 50 минут по сравнению с iOS 17.4.1, откатившись к показателям iOS 17.4.
Реальное снижение автономности вероятно, но теперь, возможно, дела будут еще немного хуже. Остальные модели показали неплохой прирост времени работы с iOS 17.5, включая iPhone 15. Можно смело сказать, что Apple не забила на старые модели смартфонов даже несмотря на то, что реальная автономность iPhone может отличаться от тестов.
Лучшие приложения для Apple Watch, которыми я пользуюсь каждый день и советую вам
Убивает ли обновление iOS батарею Айфона
Среди владельцев техники Apple бытует мнение, что обновления iOS снижают автономность iPhone. Так ли это на самом деле? Спустя почти год с iOS 17 можно самостоятельно сделать выводы. Мы взяли три случайных сборки и сравнили, как менялась автономность iPhone после их установки.
модель iPhone iOS 17.1.2 iOS 17.2 iOS 17.5 iPhone SЕ 2020 3 часа 33 минуты 3 часа 30 минут 3 часа 22 минуты iPhone XR 4 часа 44 минуты 5 часов 15 минут 4 часа 39 минут iPhone 11 5 часов 26 минут 4 часа 51 минута 5 часов 29 минут iPhone 12 5 часов 53 минуты 6 часов 00 минут 6 часов 1 минута iPhone 13 7 часов 36 минут 7 часов 21 минут 5 часов 50 минут
Как видите, однозначно утверждать, что iOS 17 убивает батарею Айфона, нельзя: разные сборки иногда снижают автономность, но в конечном итоге в следующем апдейте ее возвращают к прежним показателям. В большинстве случаев она и вовсе варьируется в пределах 30 минут и редко превышает час, поэтому все разговоры о низком времени работы iPhone бессмысленны. К тому же, замеры в синтетических тестах и реальное время работы отличаются, а также зависят от привычек самого пользователя.
Повербанк для Айфона
Так что, если до сих пор не обновили iPhone, сделайте это прямо сейчас. iOS 17.5 работает неплохо и не повлияет отрицательно на автономность устройства. А если уже сделали это, поделитесь наблюдениями в нашем Телеграм-чате.
Как iOS 17.5 влияет на время работы iPhone, и что будет с батареей, если обновиться прямо сейчас","Как iOS 17.5 влияет на время работы iPhone, и что будет с батареей, если обновиться прямо сейчас","3 дня назад"
"Для многих европейцев китайцы, корейцы и японцы кажутся очень похожими, а некоторые вовсе не могут разглядеть разницу во внешности этих народов — различить их этническую принадлежность без подготовки бывает сложно. Что общего у этих народов, а в чем заключается их различие?
Группа BTS
Об этом рассказывают эксперты-этнографы.
Исторические корни
У этих трех наций общий исторический предок — народ хань, проживавший на территории современного Северного Китая. Именно они заложили основу первой цивилизации возле реки Хуанхэ примерно 5500 лет назад. Интересно, что сегодня около 90% населения Китая считают себя как потомками ханьцев!
Процесс отделения корейцев от ханьцев начался примерно во II тысячелетии до нашей эры. Японцы как отдельная нация формировались еще позже: они мигрировали на территорию современного
Японского архипелага с Корейского полуострова в I тысячелетии до нашей эры. На новом месте будущие японцы смешались с местным населением — айнами, которые, к удивлению, обладали кавказскими чертами лица! Происхождение айнов до сих пор остается загадкой для исследователей, ведь неясно, каким образом они оказались в таких удаленных районах Евразии.
Коренные жители Японии Айны
Тысячелетия самобытного развития оказали серьезное влияние как на внешность, так и на культурные особенности этих трех народов. Из-за этого азиаты без труда различают представителей соседних стран.
К слову, для многих азиатов все европейцы выглядят очень похоже.
Отличия между китайцами и японцами
Исторически сложившиеся отношения Китая и Японии всегда были напряженными. Японцы жили на островах, избегали внешних влияний и оставались в изоляции, за исключением контактов с айнами, а китайский народ со временем смешался с тибетцами, маньчжурами, эвенками, монголами и другими народностями.
Разнообразие этносов в Китае можно сравнить с европейским — жители различных регионов страны имеют свои особенности. Но для европейца или американца китайцы кажутся одинаковым народом.
Внешние различия между китайцами и японцами легко заметить, если знать их: японцы, как правило, выше, у них светлее кожа, более деликатные черты лица и широко расставленные глаза. В отличие от китайцев, японцы склонны к западной моде и стилю одежды.
Национальности китая
Несмотря на это, различия между китайцами и японцами могут быть не столь очевидны, если речь идет о людях с выраженной модельной внешностью.
Особенности поведения и повадки японцев схожи с корейцами: оба народа проявляют скромность, спокойствие и редко поднимают голос. В целом типичный японец отличается от китайца утонченностью и заботой о своем внешнем виде.
Японский язык заимствовал множество элементов из китайского, включая систему письма со схожими иероглифами. Однако, несмотря на визуальное сходство, китайский язык сложнее в произношении, а его словарный запас существенно отличается от японского.
Разница между корейцами и китайцами
Корея, расположенная в непосредственной близости к Китаю, находилось под серьезным влиянием Поднебесной. Особенно заметно это было в периоды китайских завоеваний и контроля над полуостровом. Это сказалось и на внешних сходствах между корейцами и китайцами.
Сеул Южная Корея люди
Но есть и заметные отличия: у китайцев обычно более круглые лица с широкими скулами, широким носом, пухлыми губами и темным оттенком кожи. В отличие от них, корейцы чаще имеют плоские и немного вытянутые лица, тонкие губы, выше рост и светлую кожу.
В плане моды и стиля одежды тоже наблюдаются различия: жители Южной Кореи стремятся следовать западным тенденциям и одеваются западно-стильно, а китайцы обычно предпочитают более комфортную и менее вычурную одежду. Жители Северной Кореи, которым редко удается покинуть страну, одеваются более скромно и имеют более низкий рост по сравнению с южнокорейцами.
Северная Корея
В поведении двух народов тоже существуют различия: китайцы более экспрессивны, общительны и открыты, а корейцы склонны к сдержанности и скромности.
Язык — еще одна сфера, где заметны различия между жителями Кореи и Китая. Хотя корейский язык и находился под сильным влиянием китайского, в итоге страна отказалась от использования китайской письменности. Несмотря на некоторые общие черты с японским, корейский язык существенно отличается от обоих соседних языков.
Чан Конг-Санг
Определить национальность человека из Кореи, Китая или Японии по внешнему виду может быть непросто, часто их можно спутать, однако знание их языка, культурных особенностей и норм поведения поможет распознать их национальность.
ПОДПИСЫВАЙТЕСЬ на наш YouTube канал!
Ставьте ПАЛЕЦ ВВЕРХ и ПОДПИСЫВАЙТЕСЬ на Дзен канал
Читайте также:
Простой вопрос: Почему нельзя дарить нечетное количество цветов?
Путешествия, туризм, наука
13 января
6 идеальных направлений для отпуска в Азии: когда Таиланд уже надоел
Путешествия, туризм, наука
14 января
4 страны, которые ВООБЩЕ не ждут у себя туристов — и совершенно не страдают по этому поводу
Путешествия, туризм, наука
14 января
Как расстаются в разных странах мира? Часть 1
Путешествия, туризм, наука
15 января
Не поступайте так нигде, но особенно в Америке. Часть 1
Путешествия, туризм, наука
15 января","Простой, но неловкий вопрос: Как различить китайца, корейца и японца между собой?","21 января"
"В уходящем 2023 году в коллекции Амедиатеки появился не один десяток новых проектов со всего мира – это и мини‑сериалы, и несколько сезонов культовых шоу, и документальные ленты. Мы продолжаем открывать и изучать мир с помощью кинематографа, рассказывая о жизни в Ирландии, Испании, Новой Зеландии, Дании и даже Канаде будущего!
В этой подборке вас ждут десять проектов, которые вы могли пропустить в рутине рабочих будней в 2023‑м. Самое время всё наверстать на новогодних праздниках, которые случатся очень скоро!
«Соммердаль»
Необычный детектив с элементами мелодрамы – своеобразная «Санта‑Барбара» с криминальными историями под капотом. Дэн Соммердаль живет в небольшом прибрежном городке и расследует убийства разной степени сложности вместе со своей женой Марианной и другом Флеммингом. Дэн настолько погружен в работу, что не замечает, как его супруга отдаляется и начинает всерьез думать о разводе. Более того, за ее внимание борется… Флемминг! Несмотря на запутанные отношения, этой троице профессионалов нужно работать сообща, чтобы и дальше успешно раскрывать преступления. А параллельно помогать выросшей дочке выяснять отношения с соседями, ходить на сеансы к семейному психологу и многое другое.
«Монтекристо»
Современное прочтение бессмертной классики Александра Дюма. Действие сериала происходит на Кубе, в Испании и США. Простой парень Эдмундо Дантес был ложно обвинен в убийстве, однако смог выбраться из тюрьмы и вернулся, словно феникс из пепла (а заодно еще богатый, знаменитый и подкачанный), чтобы отомстить своим обидчикам. Главный герой по имени Аленхандро Монтекристо носит дизайнерскую одежду, управляет многомиллионным бизнесом, связанным с IT, ездит на лучших автомобилях, посещает светские рауты, рассекает на личном катере по волнам. Но не раз ему придется обратиться к собственному моральному компасу и задуматься о том, так уж ли лечит душу месть.
«Исчезнувшие»
Детективный сериал «Исчезнувшие» рассказывает о приключениях ирландского следователя в Новой Зеландии. Несмотря на идиллические пейзажи, которые в серии фильмов «Властелин колец» воспел режиссер Питер Джексон, в этом проекте природа и необычные традиции местного населения – маори – будут скорее пугать и держать в напряжении всё время. Полицейский Тео Рихтер после 20 лет успешной карьеры решает отправиться на пенсию. От этого шага его останавливает звонок знакомой судьи, чья дочь с парнем пропали без вести в живописной новозеландской деревне, где ранее уже происходили подобные случаи. Тела несчастных жертв находили у водопада с крестами из птичьих косточек в горле. Успеет ли Тео найти их до того, как героев убьют ради какого‑то странного ритуала?
«Перри Мейсон»
Экранизация романов Эрла Стэнли Гарднера об адвокате Перри Мейсоне, который не только защищает интересы клиентов в суде, но и докапывается до правды собственными руками. Пожалуй, превосходным сыщиком его назвать сложно, однако недостаток мастерства он с легкостью компенсирует своей преданностью делу. Но смотреть сериал приятно не только потому, что в центре внимания — самоотверженный защитник слабых и угнетенных. Действие разворачивается в начале 30‑х годов прошлого века, на фоне Великой депрессии США, и есть у этой невеселой эпохи своеобразное обаяние — интерьеры в стиле «остатки былой роскоши», всевозможные шляпки, угловатые автомобили и сдержанные, но элегантные образы, вдохновленные звездами классического Голливуда.
«Штисель»
Один из самых популярных израильских сериалов, отмеченный десятком премий, чьи права на показ приобрел Netflix. Он рассказывает о жизни ультраортодоксальной семьи Штисель, в которой всё положено на алтарь религии, но место для любви и страсти тут тоже найдется! Акива – художник, что не очень хорошо для правоверного иудея, тем более, что он не женат. Его отец, раввин Шулем, берется подыскать ему невесту. Другой сын, Цви Арье, хочет быть певцом, что также расстраивает патриарха семьи. Лишь дочка Гити соответствует образу «хорошей жены», но это лишь до того момента, пока от нее не сбегает муж… Сериал дает неожиданный взгляд на жизнь в религиозной общине, где вера каждый день сталкивается с простыми человеческими проблемами и пороками, а спасти могут лишь юмор и забота близких.
Читайте продолжение статьи в блоге Амедиатеки, подписывайтесь на наш канал в Дзене. Благодарим за ваши лайки к материалам, они помогают нам становиться лучше и понимать, что вам интереснее всего.","10 отличных сериалов, которые вы могли пропустить в 2023-м","25 декабря 2023"
"Я очень люблю Петербург и уже был тут несколько раз. Но интереснее всего было увидеть, что скрывается за стенами красивых домов. Так я попал в коммунальные квартиры Петербурга и покажу, что увидел.
Когда я переехал в Россию, я быстро узнал, что такое “коммунальная квартира”. Мы с женой какое-то время жили в такой квартире в Москве. Эта была квартира в сталинке недалеко от центра. Ремонт пора было делать, но сама квартира мне очень понравилась. Высокие потолки и деревянные полы, которые, мне кажется, лежали там с времён Сталина.
Были соседи в двух других комнатах. Мне надо было привыкнуть к жизни с другими людьми. Надо же всё-таки делиться кухней и туалетом. У всех свой график и свои привычки. Были очереди в душ и туалет. Но я довольно быстро привык, потому что в целом соседи были нормальные, и я могу адаптироваться в разных ситуациях. Кстати, в моей книге “Голландец в России” я писал о некоторых интересных случаях в нашей коммунальной квартире :)
Но потом я приехал в Петербург… И тут я узнал, что я мало чего знал о жизни в настоящих коммунальных квартирах в России, и раньше - в СССР.
В Петербурге коммунальных квартир - более 50 тысяч. Фото: Голландец в России
Столица коммуналок
Перед поездкой я много читал про коммунальные квартиры в городе Пётра. Санкт-Петербург - столица коммунальных квартир в России, нет? За многими красивыми стенами домов в центре города прячутся коммуналки.
Тут тоже коммунальные квартиры. Фото: Голландец в России
И когда я поехал в Петербург, я захотел увидеть, как живут в этих квартирах.
Как попасть в настоящую коммуналку, если турист
Но как увидеть настоящую коммунальную квартиру? У меня нет знакомых, кто живёт в коммунальных квартирах, поэтому я нашёл экскурсию в коммунальные квартиры на Трипстере, где мы часто берём экскурсии во время путешествий. Мне нравится, что там много необычных экскурсий от местных жителей, с которыми можно попасть в нетуристические локации.
И то, что на этой экскурсии я увидел и узнал о жизни, был небольшой шок для меня! И сейчас я вам всё покажу (и тоже могу поделиться скидкой на посещение любой экскурсии Трипстера). Но сначала немного истории.
Откуда так много коммуналок
В Петербурге коммуналки пришли из доходных домов. В царское время богатые люди покупали землю в центре Петербурга и строили дома, чтобы не только там жить, но сдавать тоже и заработать деньги.
Будущие владельцы домов приглашали лучших архитекторов из России и других стран. Поэтому в Петербурге так много красивой архитектуры. Фото: Голландец в России
Все хотели сделать дом красивее, чем другие, чтобы больше людей хотели жить там и больше денег платить. Такие дома для аренды назывались доходные.
Это бывшие доходные дома. Чем красивее они были, тем было легче сдать квартиру. Фото: Голландец в России
После революции государство взяло эти дома от хозяев. Остались у хозяев только одна комната. Все остальные комнаты дали другим людям. Это осталось до сих пор - в одной квартире несколько семей живут. И сегодня мы увидим несколько таких квартир.
Итак, отправляемся в коммунальные квартиры Петербурга!
Парадная и чёрная лестница
С чего они начинаются? Конечно, с парадной. Мне всегда интересно было, почему в Москве говорят подъезд, и в Санкт-Петербурге - парадная. Я думал это опять такое как курица/кура, гречка/греча, но оказывается не совсем так. На экскурсии мне всё объяснили.
Парадная находится с внешней стороны здания. А эта дверь - чёрная лестница. Фото: Голландец в России
В таких домах были два входа. Один - для хозяев - парадная. В Москве они тоже были в доходных домах, кстати. Другой вход - для помощников. Это был обычный подъезд из внутреннего двора, который называли чёрная лестница.
Не только был другой вход для помощников, тоже в квартире строили так, чтоб хозяева не встречались с ними! Между комнатами были двери, чтобы можно было не в коридор идти, где помощник тоже гуляет.
Коммуналки
А что для меня был шок? Я жил в квартире с тремя комнатами. Я знал, что есть побольше. Но меня удивило, что может быть намного больше квартир! Например, мы увидели, как живут в квартире с 8 комнатами!
""Нет, восемь - ещё мало, - мне сказали на экскурсии. - Самая большая коммунальная квартира - находится в Петербурге, и там, держитесь, 80 комнат! Её площадь - более 1000 квадратных метров!""
Мы приехали в коммуналку поменьше. Она тоже находится в центре Петербурга. Фото: Голландец в России
Я представляю, что утро около ванной выглядит примерно как утренняя пробка в Москве :) А я думал, что пробки придумали именно в Москве, но похоже они родились в Санкт-Петербурге! :)
Нужно тогда хорошо договориться с соседями, кто когда чего делает, моет полы, и так далее. И, конечно, важно, чтобы соседи хорошие попались. ""Дом можно купить, а соседей - нет."" - вспомнил эту фразу, которую мне добрая женщина в поезде говорила, и в таком случае фраза очень актуальна!
Самая жуткая квартира
На экскурсии нам показали три квартиры. Первая впечатлила меня больше всего.
На кухне коммунальной квартиры. Фото: Голландец в Росси
Тут пять комнат, и в каждой комнате - разные семьи живут. Сюда попасть можно только через чёрную лестницу (потому что другую части квартиры купили и закрыли от остальных), и мы сразу попадаем на кухню. И именно сюда попадала кухарка в 19 веке, когда заходила в квартиру.
Вход в квартиру - слева. Фото: Голландец в России
На фото за шкафом справа вы видите дверь Это вход в маленькую комнату. Тут кухарка жила. Сейчас здесь склад вещей.
Комната для кухарки. Фото: Голландец в России
Из кухни мы выходим в коридор. Отсюда есть входы во все комнаты.
Тут сохранилось много старых вещей. Это хорошая загадка для современных детей :). Фото: Голландец в России
Что интересно, что помимо общего коридора, куда есть выходы из комнат, были ещё двери между комнатами. Это было сделано для того, чтобы было удобно в другую комнату идти и не встречаться в коридоре с помощниками. Заходим в одну из них. Тут живёт молодой человек.
Слева остались петли от двери, которая вела в соседнюю комнату. Фото: Голландец в России
Комната огромная и светлая. Но стоит она больше 4 миллионов рублей! Зато она в центре города.
Вид почти на центр города. Фото: Голландец в России
Тут сохранилась печь. И можно увидеть всю историю квартиры под разными слоями обоев. Мне нравится голубой цвет! Интересно, это какой период времени? Фото: Голландец в России
Душ и туалет тут один на все комнаты. Сейчас в этой квартире, к сожалению, не очень хорошо: ремонт очень нужен, но трудность в том, что соседи не могут договориться о ремонте. Тут раньше 7 семей жили, а сейчас 4.
У каждой комнаты своя стиральная машина. Фото: Голландец в России
Также мы побывали в коммунальной квартире писателя и искусствоведа.
В первой жил Сергей Довлатов. Я о нём никогда не слышал, но мне сказали, он был довольно популярный здесь, да? Его комната - более 40 метров. Сейчас там больше музей - много предметов из прошлого, которые можно фотографировать и трогать.
В третьей квартире живёт искусствовед. Это её квартира:
Там даже сохранились оригинальные окна.
И вот некоторые интересные правила коммуналок, которые узнал за этот день:
у каждой семьи своё место на кухне и в ванной и в коридоре. Там можно ставить свои вещи, которым не нашлось места в комнате.
кухня - центр жизни, тут соседи встречаются, обсуждают новости, вместе готовят.
важное правило: не класть вещи на чужие территории.
в ванной у каждого своя шампунь и туалетная бумага, все знают, где его бумага и пользуются только своей. Поэтому несколько бумаг в туалете коммунальной квартиры - это норма.
холодильник есть в каждой комнате.
у каждой комнаты есть свой счётчик. Пользоваться мощными электрическими приборами на общей территории нельзя.
соседи договариваются, кто и когда утром уходит и пользуется душем и туалетом.
нельзя шуметь во то время, в которое договорился с соседями.
у каждой комнаты есть своя часть плиты, и ты не можешь готовить на конфорке соседей. Свою часть нужно обязательно мыть. Но это делают не все.
По плите можно увидеть границу чистоты: кто из соседей плохо моет свою часть. Фото: из личного архива
Было интересно узнать, что кто-то даже заводил животных!
Фото из коммунальной квартиры.
Но не всем нравились такие соседи, и поэтому появлялись такие объявления:
Эту экскурсию по коммунальным квартирам я покупал на Трипстере. Там есть авторские экскурсии на русском языке по всему миру, и проводят их очень хорошие гиды (я ездил в несколько экскурсий, и каждый раз было интересно).
Моя экскурсия называется ""Ленинградские коммуналки - снаружи и изнутри"". По ссылке выше можете посмотреть стоимость экскурсии и записаться на неё.
Также если хотите получить скидку -10%, то можете использовать промокод - TRIPSTER24 - он действителен до 27 февраля. Это значит, что забронировать со скидкой возможно в феврале, а пойти можно в любое время, даже летом во время отпуска.
Реклама: Трипстер Лимитед. ИНН 9909537328, erid: LjN8KXsWi
А вы что выбрали бы: комнату в коммунальной квартире в центре Петербурга или квартиру в обычной многоэтажке на краю города?
И если вы жили в коммунальных квартирах, какие интересные правила у вас были?","Как живут в коммуналке в центре Петербурга (где комната стоит 4 миллиона)","14 февраля"
