topicId,rank,docId,filename
0,0,3,file:/C:/Users/user/Desktop/lab10/n4/ystal/4.txt
0,1,2,file:/C:/Users/user/Desktop/lab10/n4/ystal/3.txt
0,2,1,file:/C:/Users/user/Desktop/lab10/n4/ystal/2.txt
0,3,0,file:/C:/Users/user/Desktop/lab10/n4/ystal/1.txt
0,4,5,file:/C:/Users/user/Desktop/lab10/n4/ystal/6.txt
0,5,4,file:/C:/Users/user/Desktop/lab10/n4/ystal/5.txt
1,0,2,file:/C:/Users/user/Desktop/lab10/n4/ystal/3.txt
1,1,5,file:/C:/Users/user/Desktop/lab10/n4/ystal/6.txt
1,2,4,file:/C:/Users/user/Desktop/lab10/n4/ystal/5.txt
1,3,3,file:/C:/Users/user/Desktop/lab10/n4/ystal/4.txt
1,4,1,file:/C:/Users/user/Desktop/lab10/n4/ystal/2.txt
1,5,0,file:/C:/Users/user/Desktop/lab10/n4/ystal/1.txt
2,0,1,file:/C:/Users/user/Desktop/lab10/n4/ystal/2.txt
2,1,5,file:/C:/Users/user/Desktop/lab10/n4/ystal/6.txt
2,2,4,file:/C:/Users/user/Desktop/lab10/n4/ystal/5.txt
2,3,3,file:/C:/Users/user/Desktop/lab10/n4/ystal/4.txt
2,4,2,file:/C:/Users/user/Desktop/lab10/n4/ystal/3.txt
2,5,0,file:/C:/Users/user/Desktop/lab10/n4/ystal/1.txt
3,0,5,file:/C:/Users/user/Desktop/lab10/n4/ystal/6.txt
3,1,0,file:/C:/Users/user/Desktop/lab10/n4/ystal/1.txt
3,2,4,file:/C:/Users/user/Desktop/lab10/n4/ystal/5.txt
3,3,3,file:/C:/Users/user/Desktop/lab10/n4/ystal/4.txt
3,4,2,file:/C:/Users/user/Desktop/lab10/n4/ystal/3.txt
3,5,1,file:/C:/Users/user/Desktop/lab10/n4/ystal/2.txt
4,0,1,file:/C:/Users/user/Desktop/lab10/n4/ystal/2.txt
4,1,2,file:/C:/Users/user/Desktop/lab10/n4/ystal/3.txt
4,2,5,file:/C:/Users/user/Desktop/lab10/n4/ystal/6.txt
4,3,4,file:/C:/Users/user/Desktop/lab10/n4/ystal/5.txt
4,4,3,file:/C:/Users/user/Desktop/lab10/n4/ystal/4.txt
4,5,0,file:/C:/Users/user/Desktop/lab10/n4/ystal/1.txt
5,0,4,file:/C:/Users/user/Desktop/lab10/n4/ystal/5.txt
5,1,5,file:/C:/Users/user/Desktop/lab10/n4/ystal/6.txt
5,2,3,file:/C:/Users/user/Desktop/lab10/n4/ystal/4.txt
5,3,2,file:/C:/Users/user/Desktop/lab10/n4/ystal/3.txt
5,4,1,file:/C:/Users/user/Desktop/lab10/n4/ystal/2.txt
5,5,0,file:/C:/Users/user/Desktop/lab10/n4/ystal/1.txt
6,0,0,file:/C:/Users/user/Desktop/lab10/n4/ystal/1.txt
6,1,5,file:/C:/Users/user/Desktop/lab10/n4/ystal/6.txt
6,2,2,file:/C:/Users/user/Desktop/lab10/n4/ystal/3.txt
6,3,4,file:/C:/Users/user/Desktop/lab10/n4/ystal/5.txt
6,4,3,file:/C:/Users/user/Desktop/lab10/n4/ystal/4.txt
6,5,1,file:/C:/Users/user/Desktop/lab10/n4/ystal/2.txt
