"Gogol_MertvieDushi" "Gogol_TarasBulba" "Lermontov_GeroyNashegoVremeni" "Lermontov_KnyaginyaLigovskaya" "Pushkin_Dubrovsky" "Pushkin_KapitanskayaDochka"
"и" 4.02058076510173 5.16013753147251 3.26482985259448 3.78335112059765 4.32634077806308 3.96912229516168
"в" 2.55295750307664 2.32558139534884 2.01700283380563 2.38527214514408 2.56286032653457 2.32798443958181
"не" 2.11830012306564 2.0602647751577 2.11463815397804 1.89967982924226 2.06385349547018 1.93289569657185
"на" 1.56581393522034 1.99258196388445 1.65980044293096 1.47812166488794 1.36621287728308 1.45575006078288
"что" 1.8852609253489 1.33199772585754 1.79553735146334 1.48345784418356 1.03192674773509 1.48918064672988
"я" 0.599617710979026 0.319462869209735 2.96716119353226 1.04055496264674 0.605590814398527 2.5103330902018
"с" 1.09580791285905 1.04502260605897 1.02159883790156 1.23799359658485 1.26447362046412 1.40104546559689
"он" 1.13115655520934 0.958388607629207 1.18114923915891 1.41408751334045 1.36621287728308 0.939095550692925
"как" 1.12199209237779 0.977339794785716 0.795370657014264 0.645677694770544 0.40695702727581 0.592633114514953
"его" 0.608782173810584 0.752632861358529 0.726311528111828 0.816435432230523 1.64236228864881 0.814490639435935
"а" 0.835275326647639 0.67682811273249 0.695353987569357 0.458911419423693 0.629814446974468 0.711159737417943
"то" 0.819564818936399 0.533340552833202 0.60486271521444 0.592315901814301 0.387578121215057 0.443715049841965
"к" 0.466078395433479 0.425048054796004 0.538184935584502 0.613660618996798 0.62496972045928 0.726355458302942
"за" 0.450367887722238 0.571242927146222 0.56199842830948 0.421558164354322 0.615280267428904 0.656455142231947
"по" 0.501427037783771 0.576657552048082 0.473888505227062 0.48025613660619 0.663727532580786 0.486263068319961
"но" 0.531538844230316 0.487316241167393 0.521515490677018 0.560298826040555 0.523230463640328 0.443715049841965
"у" 0.470006022361289 0.416926117443214 0.51913414140452 0.448239060832444 0.450559565912504 0.419401896425966
"было" 0.521065172422822 0.554999052440642 0.369109137237159 0.35752401280683 0.305217770456858 0.449793338195964
"из" 0.42156529025163 0.557706364891572 0.397685328507132 0.405549626467449 0.518385737125139 0.452832482372964
"так" 0.589144039171533 0.365487180875545 0.426261519777106 0.448239060832444 0.203478513637905 0.309992706053975
"это" 0.47786127621691 0.332999431464385 0.526278189222013 0.389541088580576 0.21801269318347 0.316070994407975
"же" 0.547249351941557 0.487316241167393 0.233372228704784 0.261472785485592 0.324596676517611 0.288718696814977
"ее" 0.167578748919903 0.259901995289276 0.688209939751863 0.76307363927428 0.479627925003634 0.392049598832969
"она" 0.123065643738053 0.251780057936486 0.866811135189198 0.747065101387407 0.387578121215057 0.343423292000973
"все" 0.206855018198005 0.850096109592008 0.531040887767009 0.192102454642476 0.377888668184681 0.158035497203987
"мне" 0.151868241208662 0.138072934997428 0.795370657014264 0.213447171824973 0.208323240153093 0.841842937028933
"был" 0.378361394045718 0.300511682053226 0.376253185054652 0.389541088580576 0.40695702727581 0.434597617310965
"меня" 0.132230106569611 0.105585185586269 0.695353987569357 0.186766275346852 0.256770505304976 0.975565280816922
"сказал" 0.336466706815742 0.284267807347646 0.445312313957088 0.186766275346852 0.402112300760622 0.507537077558959
"да" 0.48178890314472 0.286975119798576 0.30243135760722 0.112059765208111 0.329441403032799 0.407245319717967
"бы" 0.476552067240973 0.395267617835774 0.25956707070226 0.384204909284952 0.140497068940458 0.215779236566983
"ты" 0.343012751695426 0.235536183230907 0.331007548877194 0.106723585912487 0.324596676517611 0.547045951859956
"только" 0.412400827420073 0.416926117443214 0.388159931417141 0.202774813233725 0.140497068940458 0.103330902017992
"ему" 0.290644392657956 0.257194682838346 0.285761912699736 0.325506937033084 0.523230463640328 0.303914417699976
"ни" 0.390144274829148 0.365487180875545 0.2167027837973 0.208110992529349 0.251925778789787 0.270483831752978
"от" 0.208164227173942 0.305926306955086 0.300050008334722 0.314834578441836 0.382733394699869 0.389010454655969
"еще" 0.329920661936058 0.403389555188564 0.219084133069797 0.240128068303095 0.13565234242527 0.218818380743982
"вы" 0.234348406692676 0.105585185586269 0.457219060319577 0.570971184631804 0.266459958335352 0.173231218088986
"их" 0.264460213139221 0.425048054796004 0.257185721429762 0.245464247598719 0.232546872729034 0.197544371504984
"уже" 0.370506140190097 0.479194303814603 0.0976353201724097 0.080042689434365 0.208323240153093 0.115487478725991
"о" 0.212091854101752 0.124536372742778 0.254804372157264 0.277481323372465 0.382733394699869 0.358619012885971
"ли" 0.30111806446545 0.124536372742778 0.28099921415474 0.149413020277481 0.213167966668282 0.273522975929978
"или" 0.344321960671362 0.162438747055798 0.200033338889815 0.336179295624333 0.184099607577152 0.0942134694869925
"мы" 0.0759341206043309 0.138072934997428 0.471507155954564 0.12273212379936 0.155031248486023 0.392049598832969
"они" 0.200308973318321 0.314048244307876 0.233372228704784 0.1974386339381 0.21801269318347 0.12156576707999
"были" 0.247440496452044 0.278853182445786 0.147643654894863 0.224119530416222 0.184099607577152 0.133722343787989
"когда" 0.195072137414574 0.246365433034627 0.257185721429762 0.336179295624333 0.101739256818953 0.12156576707999
"вот" 0.331229870911995 0.178682621761377 0.202414688162313 0.0747065101387407 0.0726708977278233 0.0972526136639922
"всё" 0.433348171035061 0 0 0.213447171824973 0.0290683590911293 0.221857524920982
"была" 0.170197166871776 0.173267996859518 0.178601195437335 0.28281750266809 0.155031248486023 0.191466083150985
"него" 0.18067083867927 0.175975309310448 0.147643654894863 0.16008537886873 0.314907223487234 0.133722343787989
"если" 0.204236600246131 0.138072934997428 0.2167027837973 0.261472785485592 0.111428709849329 0.0911743253099927
"нет" 0.251368123379854 0.124536372742778 0.16193175052985 0.149413020277481 0.13565234242527 0.0911743253099927
"для" 0.183289256631143 0.151609497252078 0.154787702712357 0.266808964781217 0.174410154546776 0.118526622902991
"уж" 0.201618182294258 0.121829060291848 0.288143261972233 0.048025613660619 0.0726708977278233 0.12156576707999
"нибудь" 0.298499646513577 0.121829060291848 0.145262305622366 0.0907150480256137 0.0581367181822586 0.0425480184779966
"чичиков" 0.490953365976277 0 0 0 0 0
"даже" 0.339085124767615 0.0758047486260389 0.0928726216274141 0.128068303094984 0.0242236325759411 0.0303914417699976
"где" 0.193762928438637 0.162438747055798 0.123830162169885 0.101387406616862 0.174410154546776 0.139800632141989
"во" 0.183289256631143 0.105585185586269 0.126211511442383 0.133404482390608 0.232546872729034 0.139800632141989
"чтобы" 0.227802361812993 0.370901805777405 0.0261948419974758 0.0747065101387407 0.00968945303037643 0.0151957208849988
"до" 0.142703778377105 0.113707122939058 0.171457147619841 0.128068303094984 0.222857419698658 0.142839776318989
"отвечал" 0.0864077924118248 0.0216584996074397 0.197651989617317 0.208110992529349 0.227702146213846 0.282640408460977
"очень" 0.181980047655207 0.0406096867639494 0.180982544709833 0.336179295624333 0.0387578121215057 0.0759786044249939
"быть" 0.164960330968029 0.0920486233316187 0.18336389398233 0.192102454642476 0.101739256818953 0.0911743253099927
"наконец" 0.17281558482365 0.132658310095568 0.11906746362489 0.165421558164354 0.116273436364517 0.109409190371991
"под" 0.126993270665864 0.162438747055798 0.150025004167361 0.0586979722518677 0.116273436364517 0.173231218088986
"тут" 0.17674321175146 0.165146059506728 0.102398018717405 0.048025613660619 0.0968945303037644 0.112448334548991
"себе" 0.18459846560708 0.0812193735278989 0.0833472245374229 0.12273212379936 0.130807615910082 0.142839776318989
"тебя" 0.126993270665864 0.0974632482334786 0.138118257804872 0.0373532550693703 0.130807615910082 0.237053245805981
"есть" 0.191144510486764 0.140780247448358 0.154787702712357 0.096051227321238 0.0726708977278233 0.0151957208849988
"несколько" 0.141394569401168 0.073097436175109 0.100016669444907 0.16008537886873 0.179254881061964 0.167152929734987
"со" 0.11651959885837 0.116414435389988 0.0928726216274141 0.0747065101387407 0.232546872729034 0.185387794796985
