Source,Target,Weight,Type
Gogol_MertvieDushi,Gogol_TarasBulba,5,undirected
Gogol_MertvieDushi,Lermontov_GeroyNashegoVremeni,2,undirected
Gogol_MertvieDushi,Lermontov_KnyaginyaLigovskaya,1,undirected
Gogol_TarasBulba,Gogol_MertvieDushi,5,undirected
Gogol_TarasBulba,Lermontov_GeroyNashegoVremeni,4,undirected
Gogol_TarasBulba,Pushkin_KapitanskayaDochka,1,undirected
Lermontov_GeroyNashegoVremeni,Gogol_MertvieDushi,2,undirected
Lermontov_GeroyNashegoVremeni,Gogol_TarasBulba,4,undirected
Lermontov_GeroyNashegoVremeni,Lermontov_KnyaginyaLigovskaya,6,undirected
Lermontov_GeroyNashegoVremeni,Pushkin_Dubrovsky,1,undirected
Lermontov_GeroyNashegoVremeni,Pushkin_KapitanskayaDochka,4,undirected
Lermontov_KnyaginyaLigovskaya,Gogol_MertvieDushi,1,undirected
Lermontov_KnyaginyaLigovskaya,Lermontov_GeroyNashegoVremeni,6,undirected
Lermontov_KnyaginyaLigovskaya,Pushkin_Dubrovsky,4,undirected
Lermontov_KnyaginyaLigovskaya,Pushkin_KapitanskayaDochka,2,undirected
Pushkin_Dubrovsky,Lermontov_GeroyNashegoVremeni,1,undirected
Pushkin_Dubrovsky,Lermontov_KnyaginyaLigovskaya,4,undirected
Pushkin_Dubrovsky,Pushkin_KapitanskayaDochka,6,undirected
Pushkin_KapitanskayaDochka,Gogol_TarasBulba,1,undirected
Pushkin_KapitanskayaDochka,Lermontov_GeroyNashegoVremeni,4,undirected
Pushkin_KapitanskayaDochka,Lermontov_KnyaginyaLigovskaya,2,undirected
Pushkin_KapitanskayaDochka,Pushkin_Dubrovsky,6,undirected
